service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,1,1,1,1,1,0,0,20130819,20131102
2,0,0,0,0,1,0,0,20130819,20131102
3,1,0,0,0,0,0,1,20130819,20131102
4,0,0,0,0,0,1,1,20130819,20131102
5,0,0,0,0,0,0,1,20130819,20131102
6,0,0,0,0,0,1,0,20130819,20131102
3539,0,0,0,0,0,0,0,20130819,20131102
3544,0,0,0,0,0,0,0,20130819,20131102
3548,0,0,0,0,0,0,0,20130819,20131102
3556,0,0,0,0,0,0,0,20130819,20131102
3557,0,0,0,0,0,0,0,20130819,20131102
3558,0,0,0,0,0,0,0,20130819,20131102
3838,0,0,0,0,0,0,0,20130819,20131102
3839,0,0,0,0,0,0,0,20130819,20131102
3841,0,0,0,0,0,0,0,20130819,20131102
3860,0,0,0,0,0,0,0,20130819,20131102
3861,0,0,0,0,0,0,0,20130819,20131102
3862,0,0,0,0,0,0,0,20130819,20131102
