trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
5527862,07:02:00,07:02:00,108,1,0,0
5527862,07:05:00,07:05:00,106,2,0,0
5527862,07:08:00,07:08:00,105,3,0,0
5527862,07:28:00,07:28:00,4,4,1,0
5527862,07:41:00,07:41:00,1,5,0,0
5527863,07:18:00,07:18:00,108,1,0,0
5527863,07:21:00,07:21:00,106,2,0,0
5527863,07:24:00,07:24:00,105,3,0,0
5527863,07:57:00,07:57:00,1,4,0,0
5527864,07:51:00,07:51:00,108,1,0,0
5527864,07:54:00,07:54:00,106,2,0,0
5527864,07:57:00,07:57:00,105,3,0,0
5527864,08:17:00,08:17:00,4,4,1,0
5527864,08:30:00,08:30:00,1,5,0,0
5527865,08:15:00,08:15:00,108,1,0,0
5527865,08:18:00,08:18:00,106,2,0,0
5527865,08:21:00,08:21:00,105,3,0,0
5527865,08:41:00,08:41:00,4,4,1,0
5527865,08:54:00,08:54:00,1,5,0,0
5527866,08:13:00,08:13:00,112,1,0,0
5527866,08:16:00,08:16:00,111,2,0,0
5527866,08:19:00,08:19:00,110,3,0,0
5527866,08:44:00,08:44:00,4,4,1,0
5527866,08:57:00,08:57:00,1,5,0,0
5527867,08:31:00,08:31:00,108,1,0,0
5527867,08:34:00,08:34:00,106,2,0,0
5527867,08:38:00,08:38:00,105,3,0,0
5527867,09:11:00,09:11:00,1,4,0,0
5527868,08:53:00,08:53:00,112,1,0,0
5527868,08:56:00,08:56:00,111,2,0,0
5527868,08:59:00,08:59:00,110,3,0,0
5527868,09:03:00,09:03:00,108,4,0,0
5527868,09:06:00,09:06:00,106,5,0,0
5527868,09:09:00,09:09:00,105,6,0,0
5527868,09:18:00,09:18:00,56,7,1,0
5527868,09:31:00,09:31:00,4,8,1,0
5527868,09:42:00,09:42:00,1,9,0,0
5527869,09:21:00,09:21:00,112,1,0,0
5527869,09:24:00,09:24:00,111,2,0,0
5527869,09:27:00,09:27:00,110,3,0,0
5527869,09:31:00,09:31:00,108,4,0,0
5527869,09:34:00,09:34:00,106,5,0,0
5527869,09:37:00,09:37:00,105,6,0,0
5527869,09:46:00,09:46:00,56,7,1,0
5527869,09:58:00,09:58:00,4,8,1,0
5527869,10:09:00,10:09:00,1,9,0,0
5527878,17:15:00,17:15:00,112,1,0,0
5527878,17:18:00,17:18:00,111,2,0,0
5527878,17:21:00,17:21:00,110,3,0,0
5527878,17:25:00,17:25:00,108,4,0,0
5527878,17:28:00,17:28:00,106,5,0,0
5527878,17:31:00,17:31:00,105,6,0,0
5527878,17:41:00,17:41:00,56,7,1,0
5527878,17:52:00,17:52:00,4,8,1,0
5527878,18:05:00,18:05:00,1,9,0,0
5527880,18:20:00,18:20:00,112,1,0,0
5527880,18:23:00,18:23:00,111,2,0,0
5527880,18:26:00,18:26:00,110,3,0,0
5527880,18:30:00,18:30:00,108,4,0,0
5527880,18:33:00,18:33:00,106,5,0,0
5527880,18:36:00,18:36:00,105,6,0,0
5527880,18:46:00,18:46:00,56,7,1,0
5527880,18:57:00,18:57:00,4,8,1,0
5527880,19:08:00,19:08:00,1,9,0,0
5527881,00:03:00,00:03:00,124,1,0,0
5527881,00:05:00,00:05:00,121,2,0,0
5527881,00:07:00,00:07:00,120,3,0,0
5527881,00:09:00,00:09:00,118,4,0,0
5527881,00:12:00,00:12:00,116,5,0,0
5527881,00:16:00,00:16:00,115,6,0,0
5527881,00:19:00,00:19:00,114,7,0,0
5527881,00:23:00,00:23:00,112,8,0,0
5527881,00:26:00,00:26:00,111,9,0,0
5527881,00:29:00,00:29:00,110,10,0,0
5527881,00:33:00,00:33:00,108,11,0,0
5527881,00:36:00,00:36:00,106,12,0,0
5527881,00:39:00,00:39:00,105,13,0,0
5527881,00:49:00,00:49:00,56,14,1,0
5527881,01:00:00,01:00:00,4,15,1,0
5527881,01:11:00,01:11:00,1,16,0,0
5527883,04:43:00,04:43:00,124,1,0,0
5527883,04:45:00,04:45:00,121,2,0,0
5527883,04:47:00,04:47:00,120,3,0,0
5527883,04:49:00,04:49:00,118,4,0,0
5527883,04:52:00,04:52:00,116,5,0,0
5527883,04:56:00,04:56:00,115,6,0,0
5527883,04:59:00,04:59:00,114,7,0,0
5527883,05:03:00,05:03:00,112,8,0,0
5527883,05:06:00,05:06:00,111,9,0,0
5527883,05:09:00,05:09:00,110,10,0,0
5527883,05:12:00,05:12:00,108,11,0,0
5527883,05:15:00,05:15:00,106,12,0,0
5527883,05:18:00,05:18:00,105,13,0,0
5527883,05:27:00,05:27:00,56,14,1,0
5527883,05:38:00,05:38:00,4,15,1,0
5527883,05:48:00,05:48:00,1,16,0,0
5527885,05:16:00,05:16:00,124,1,0,0
5527885,05:18:00,05:18:00,121,2,0,0
5527885,05:20:00,05:20:00,120,3,0,0
5527885,05:22:00,05:22:00,118,4,0,0
5527885,05:25:00,05:25:00,116,5,0,0
5527885,05:29:00,05:29:00,115,6,0,0
5527885,05:32:00,05:32:00,114,7,0,0
5527885,05:36:00,05:36:00,112,8,0,0
5527885,05:39:00,05:39:00,111,9,0,0
5527885,05:42:00,05:42:00,110,10,0,0
5527885,05:45:00,05:45:00,108,11,0,0
5527885,05:48:00,05:48:00,106,12,0,0
5527885,05:51:00,05:51:00,105,13,0,0
5527885,06:00:00,06:00:00,56,14,1,0
5527885,06:11:00,06:11:00,4,15,1,0
5527885,06:21:00,06:21:00,1,16,0,0
5527887,05:36:00,05:36:00,124,1,0,0
5527887,05:38:00,05:38:00,121,2,0,0
5527887,05:40:00,05:40:00,120,3,0,0
5527887,05:42:00,05:42:00,118,4,0,0
5527887,05:45:00,05:45:00,116,5,0,0
5527887,05:49:00,05:49:00,115,6,0,0
5527887,05:52:00,05:52:00,114,7,0,0
5527887,05:56:00,05:56:00,112,8,0,0
5527887,05:59:00,05:59:00,111,9,0,0
5527887,06:02:00,06:02:00,110,10,0,0
5527887,06:05:00,06:05:00,108,11,0,0
5527887,06:08:00,06:08:00,106,12,0,0
5527887,06:11:00,06:11:00,105,13,0,0
5527887,06:20:00,06:20:00,56,14,1,0
5527887,06:31:00,06:31:00,4,15,1,0
5527887,06:41:00,06:41:00,1,16,0,0
5527889,05:57:00,05:57:00,124,1,0,0
5527889,05:59:00,05:59:00,121,2,0,0
5527889,06:01:00,06:01:00,120,3,0,0
5527889,06:04:00,06:04:00,118,4,0,0
5527889,06:07:00,06:07:00,116,5,0,0
5527889,06:11:00,06:11:00,115,6,0,0
5527889,06:14:00,06:14:00,114,7,0,0
5527889,06:17:00,06:17:00,112,8,0,0
5527889,06:20:00,06:20:00,111,9,0,0
5527889,06:23:00,06:23:00,110,10,0,0
5527889,06:27:00,06:27:00,108,11,0,0
5527889,06:30:00,06:30:00,106,12,0,0
5527889,06:33:00,06:33:00,105,13,0,0
5527889,06:41:00,06:41:00,56,14,1,0
5527889,06:52:00,06:52:00,4,15,1,0
5527889,07:03:00,07:03:00,1,16,0,0
5527892,06:34:00,06:34:00,124,1,0,0
5527892,06:36:00,06:36:00,121,2,0,0
5527892,06:38:00,06:38:00,120,3,0,0
5527892,06:41:00,06:41:00,118,4,0,0
5527892,06:44:00,06:44:00,116,5,0,0
5527892,06:48:00,06:48:00,115,6,0,0
5527892,06:51:00,06:51:00,114,7,0,0
5527892,07:22:00,07:22:00,4,8,1,0
5527892,07:33:00,07:33:00,1,9,0,0
5527894,07:01:00,07:01:00,112,1,0,0
5527894,07:04:00,07:04:00,111,2,0,0
5527894,07:08:00,07:08:00,110,3,0,0
5527894,07:34:00,07:34:00,4,4,1,0
5527894,07:47:00,07:47:00,1,5,0,0
5527896,06:52:00,06:52:00,121,1,0,0
5527896,06:55:00,06:55:00,120,2,0,0
5527896,06:58:00,06:58:00,118,3,0,0
5527896,07:01:00,07:01:00,116,4,0,0
5527896,07:05:00,07:05:00,115,5,0,0
5527896,07:08:00,07:08:00,114,6,0,0
5527896,07:39:00,07:39:00,4,7,1,0
5527896,07:52:00,07:52:00,1,8,0,0
5527899,07:17:00,07:17:00,112,1,0,0
5527899,07:21:00,07:21:00,111,2,0,0
5527899,07:25:00,07:25:00,110,3,0,0
5527899,08:04:00,08:04:00,1,4,0,0
5527901,06:59:00,06:59:00,124,1,0,0
5527901,07:01:00,07:01:00,121,2,0,0
5527901,07:04:00,07:04:00,120,3,0,0
5527901,07:07:00,07:07:00,118,4,0,0
5527901,07:10:00,07:10:00,116,5,0,0
5527901,07:14:00,07:14:00,115,6,0,0
5527901,07:18:00,07:18:00,114,7,0,0
5527901,07:24:00,07:24:00,112,8,0,0
5527901,07:27:00,07:27:00,111,9,0,0
5527901,07:31:00,07:31:00,110,10,0,0
5527901,07:35:00,07:35:00,108,11,0,0
5527901,07:38:00,07:38:00,106,12,0,0
5527901,07:41:00,07:41:00,105,13,0,0
5527901,07:52:00,07:52:00,56,14,1,0
5527901,08:03:00,08:03:00,4,15,1,0
5527901,08:16:00,08:16:00,1,16,0,0
5527903,07:31:00,07:31:00,115,1,0,0
5527903,07:35:00,07:35:00,114,2,0,0
5527903,08:21:00,08:21:00,1,3,0,0
5527905,07:26:00,07:26:00,124,1,0,0
5527905,07:29:00,07:29:00,121,2,0,0
5527905,07:32:00,07:32:00,120,3,0,0
5527905,07:35:00,07:35:00,118,4,0,0
5527905,07:39:00,07:39:00,116,5,0,0
5527905,08:27:00,08:27:00,1,6,0,0
5527907,07:55:00,07:55:00,112,1,0,0
5527907,07:59:00,07:59:00,111,2,0,0
5527907,08:03:00,08:03:00,110,3,0,0
5527907,08:42:00,08:42:00,1,4,0,0
5527910,07:42:00,07:42:00,124,1,0,0
5527910,07:50:00,07:50:00,116,2,0,0
5527910,07:54:00,07:54:00,115,3,0,0
5527910,07:58:00,07:58:00,114,4,0,0
5527910,08:02:00,08:02:00,112,5,0,0
5527910,08:32:00,08:32:00,4,6,1,0
5527910,08:45:00,08:45:00,1,7,0,0
5527912,07:55:00,07:55:00,124,1,0,0
5527912,07:57:00,07:57:00,121,2,0,0
