route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_boarding
2,1,5528340,Crestwood,355,0,,14,1
2,1,5528343,Crestwood,361,0,,14,1
2,1,5528347,Mt Vernon West,367,0,,14,1
2,1,5528320,Grand Central Terminal,306,1,,3,1
2,1,5528319,Grand Central Terminal,304,1,,3,1
2,1,5528326,Grand Central Terminal,314,1,,3,1
2,1,5528324,Grand Central Terminal,310,1,,3,1
2,1,5528325,Grand Central Terminal,312,1,,3,1
2,1,5528328,Grand Central Terminal,324,1,,3,1
2,1,5528330,Grand Central Terminal,328,1,,3,1
2,1,5528331,Grand Central Terminal,330,1,,3,1
2,1,5528332,Grand Central Terminal,332,1,,3,1
2,1,5528334,Grand Central Terminal,336,1,,3,1
2,1,5528346,Grand Central Terminal,366,1,,3,1
1,1,5528353,Grand Central Terminal,434,1,,1,1
1,1,5528351,Grand Central Terminal,416,1,,1,1
2,1,5528349,Grand Central Terminal,370,1,,3,1
1,1,5528354,Grand Central Terminal,436,1,,1,1
1,1,5528355,Grand Central Terminal,440,1,,1,1
1,1,5528359,Grand Central Terminal,446,1,,1,1
1,1,5528358,Grand Central Terminal,444,1,,1,1
1,1,5528356,Grand Central Terminal,442,1,,1,1
2,1,5528386,Grand Central Terminal,508,1,,3,1
2,1,5528380,Grand Central Terminal,502,1,,3,1
2,1,5528382,Grand Central Terminal,504,1,,3,1
2,1,5528384,Grand Central Terminal,506,1,,3,1
2,1,5528396,Grand Central Terminal,516,1,,3,1
2,1,5528400,Grand Central Terminal,518,1,,3,1
2,1,5528408,Grand Central Terminal,524,1,,3,1
2,1,5528415,Grand Central Terminal,528,1,,3,1
2,1,5528429,Grand Central Terminal,536,1,,3,1
2,1,5528438,Grand Central Terminal,542,1,,3,1
2,1,5528440,Grand Central Terminal,544,1,,3,1
2,1,5528458,Grand Central Terminal,556,1,,3,1
2,1,5528445,Grand Central Terminal,548,1,,3,1
2,1,5528450,Grand Central Terminal,550,1,,3,1
2,1,5528454,Grand Central Terminal,552,1,,3,1
2,1,5528457,Grand Central Terminal,554,1,,3,1
2,1,5528580,Grand Central Terminal,664,1,,3,1
2,1,5528578,Grand Central Terminal,662,1,,3,1
2,1,5528462,Grand Central Terminal,558,1,,3,1
2,1,5528466,Grand Central Terminal,560,1,,3,1
2,1,5528468,Grand Central Terminal,562,1,,3,1
2,1,5528572,Grand Central Terminal,656,1,,3,1
2,1,5528576,Grand Central Terminal,660,1,,3,1
2,1,5528582,Grand Central Terminal,666,1,,3,1
2,1,5528584,Grand Central Terminal,668,1,,3,1
2,1,5528587,Grand Central Terminal,670,1,,3,1
2,1,5528589,Grand Central Terminal,672,1,,3,1
2,1,5528591,Grand Central Terminal,674,1,,3,1
2,1,5528595,Grand Central Terminal,678,1,,3,1
2,1,5528593,Grand Central Terminal,676,1,,3,1
2,1,5528602,Grand Central Terminal,684,1,,3,1
2,1,5528600,Grand Central Terminal,682,1,,3,1
2,1,5528598,Grand Central Terminal,680,1,,3,1
2,1,5528605,Grand Central Terminal,688,1,,3,1
2,1,5528609,Grand Central Terminal,692,1,,3,1
2,1,5528613,Grand Central Terminal,698,1,,3,1
2,1,5528611,Grand Central Terminal,696,1,,3,1
1,1,5528615,Grand Central Terminal,700,1,,1,1
1,1,5528617,Grand Central Terminal,702,1,,1,1
1,1,5528619,Grand Central Terminal,704,1,,1,1
1,1,5528625,Grand Central Terminal,710,1,,1,1
1,1,5528623,Grand Central Terminal,708,1,,1,1
1,1,5528627,Grand Central Terminal,712,1,,1,1
1,1,5528629,Grand Central Terminal,714,1,,1,1
1,1,5528635,Grand Central Terminal,720,1,,1,1
1,1,5528633,Grand Central Terminal,718,1,,1,1
1,1,5528637,Grand Central Terminal,722,1,,1,1
1,1,5528639,Grand Central Terminal,724,1,,1,1
1,1,5528644,Grand Central Terminal,730,1,,1,1
1,1,5528642,Grand Central Terminal,728,1,,1,1
1,1,5528646,Grand Central Terminal,732,1,,1,1
1,1,5528650,Grand Central Terminal,736,1,,1,1
1,1,5528654,Grand Central Terminal,740,1,,1,1
1,1,5528652,Grand Central Terminal,738,1,,1,1
1,1,5528656,Grand Central Terminal,742,1,,1,1
1,1,5528658,Grand Central Terminal,744,1,,1,1
1,1,5528660,Grand Central Terminal,746,1,,1,1
1,1,5528662,Grand Central Terminal,748,1,,1,1
1,1,5528666,Grand Central Terminal,752,1,,1,1
1,1,5528664,Grand Central Terminal,750,1,,1,1
1,1,5528668,Grand Central Terminal,754,1,,1,1
1,1,5528670,Grand Central Terminal,756,1,,1,1
1,1,5528672,Grand Central Terminal,758,1,,1,1
1,1,5528674,Grand Central Terminal,760,1,,1,1
1,1,5528676,Grand Central Terminal,762,1,,1,1
1,1,5528678,Grand Central Terminal,764,1,,1,1
1,1,5528680,Grand Central Terminal,766,1,,1,1
1,1,5528682,Grand Central Terminal,768,1,,1,1
1,1,5528686,Grand Central Terminal,772,1,,1,1
1,1,5528684,Grand Central Terminal,770,1,,1,1
1,1,5528690,Grand Central Terminal,776,1,,1,1
1,1,5528688,Grand Central Terminal,774,1,,1,1
1,1,5528692,Grand Central Terminal,778,1,,1,1
1,1,5528694,Grand Central Terminal,780,1,,1,1
1,1,5528696,Grand Central Terminal,782,1,,1,1
1,1,5528699,Grand Central Terminal,786,1,,1,1
2,1,5528471,Grand Central Terminal,564,1,,3,1
2,1,5528484,Grand Central Terminal,572,1,,3,1
2,1,5528474,Grand Central Terminal,566,1,,3,1
2,1,5528480,Grand Central Terminal,570,1,,3,1
2,1,5528488,Grand Central Terminal,574,1,,3,1
2,1,5528491,Grand Central Terminal,576,1,,3,1
2,1,5528496,Grand Central Terminal,578,1,,3,1
2,1,5528501,Grand Central Terminal,580,1,,3,1
2,1,5528504,Grand Central Terminal,584,1,,3,1
2,1,5528507,Grand Central Terminal,588,1,,3,1
2,1,5528512,Grand Central Terminal,592,1,,3,1
2,1,5528515,Grand Central Terminal,596,1,,3,1
2,1,5528523,Grand Central Terminal,604,1,,3,1
2,1,5528521,Grand Central Terminal,602,1,,3,1
2,1,5528527,Grand Central Terminal,608,1,,3,1
2,1,5528525,Grand Central Terminal,606,1,,3,1
2,1,5528533,Grand Central Terminal,614,1,,3,1
2,1,5528531,Grand Central Terminal,612,1,,3,1
2,1,5528529,Grand Central Terminal,610,1,,3,1
2,1,5528535,Grand Central Terminal,616,1,,3,1
2,1,5528540,Grand Central Terminal,624,1,,3,1
2,1,5528544,Grand Central Terminal,628,1,,3,1
2,1,5528542,Grand Central Terminal,626,1,,3,1
2,1,5528549,Grand Central Terminal,632,1,,3,1
2,1,5528551,Grand Central Terminal,634,1,,3,1
2,1,5528555,Grand Central Terminal,638,1,,3,1
2,1,5528553,Grand Central Terminal,636,1,,3,1
2,1,5528558,Grand Central Terminal,640,1,,3,1
2,1,5528560,Grand Central Terminal,642,1,,3,1
2,1,5528566,Grand Central Terminal,648,1,,3,1
2,1,5528562,Grand Central Terminal,644,1,,3,1
2,1,5528564,Grand Central Terminal,646,1,,3,1
2,1,5528569,Grand Central Terminal,652,1,,3,1
